"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"291","ZNF202",-0.66,0.745,-0.418,0.762,0.326,0.157,291,0.804100347590766
"292","ZNF441",0.672,0.251,0.026,0.594,0.329,0.161,292,0.79317412396815
"293","ZNF554",0.208,0.418,0.863,0.577,0.331,0.163,293,0.787812395596042
"294","ZNF394",0.644,0.26,0.085,0.591,0.332,0.164,294,0.785156151952302
"295","ZFP69B",0.716,0.237,0.102,0.59,0.333,0.166,295,0.779891911959945
"296","MEN1",0.661,0.254,0.196,0.589,0.333,0.167,296,0.777283528852417
"297","ZNF197",0.593,0.277,0.342,0.586,0.334,0.167,297,0.777283528852417
"298","ZNF281",0.566,0.286,0.213,0.59,0.335,0.17,298,0.769551078621726
"299","TCF12",-0.512,0.696,-0.184,0.654,0.336,0.17,299,0.769551078621726
"300","KDM4B",0.575,0.283,-0.202,0.604,0.336,0.171,300,0.767003889607846
"301","VEZF1",0.429,0.334,-0.24,0.608,0.341,0.179,301,0.747146969020107
"302","LARP7",-0.875,0.809,0.012,0.662,0.344,0.183,302,0.737548910269571
"303","CBFA2T2",0.143,0.443,0.774,0.575,0.344,0.183,303,0.737548910269571
"304","ZKSCAN5",0.534,0.297,0.157,0.588,0.345,0.186,304,0.730487055782084
"305","DNMT3A",-0.066,0.526,-0.202,0.617,0.347,0.188,305,0.72584215073632
"306","CBX2",0.472,0.318,0.251,0.586,0.347,0.188,306,0.72584215073632
"307","ZNF143",0.082,0.467,-0.563,0.645,0.348,0.19,307,0.721246399047171
"308","ZBTB26",0.199,0.421,-1.002,0.736,0.35,0.193,308,0.714442690992226
"309","INO80",-0.068,0.527,-0.804,0.698,0.35,0.193,309,0.714442690992226
"310","ZEB2",0.201,0.42,-0.088,0.602,0.35,0.194,310,0.712198270069774
"311","ID3",0.372,0.355,0.287,0.582,0.352,0.196,311,0.707743928643524
"312","SCRT2",0.156,0.438,0.631,0.575,0.354,0.2,312,0.698970004336019
"313","MECP2",0.625,0.266,-0.379,0.602,0.355,0.201,313,0.696803942579511
"314","HEY1",0.525,0.3,-0.44,0.611,0.355,0.202,314,0.694648630553376
"315","HCFC1",0.573,0.283,-0.433,0.609,0.356,0.203,315,0.692503962086787
"316","TBP",0.204,0.419,-1.027,0.714,0.358,0.206,316,0.686132779630847
"317","KMT2D",0.521,0.301,-0.483,0.614,0.358,0.207,317,0.684029654543082
"318","DPPA2",-0.001,0.5,0.803,0.57,0.36,0.209,318,0.679853713888946
"319","AGO1",-0.183,0.573,0.279,0.592,0.36,0.21,319,0.677780705266081
"320","GTF2B",0.078,0.469,-0.713,0.653,0.361,0.212,320,0.673664139071249
"321","WT1",0.343,0.366,0.033,0.588,0.361,0.212,321,0.673664139071249
"322","CBX4",0.627,0.266,-0.305,0.592,0.362,0.213,322,0.671620396561262
"323","ZNF76",0.209,0.417,-0.468,0.618,0.362,0.214,323,0.669586226650809
"324","GMEB2",0.498,0.309,-0.406,0.602,0.365,0.219,324,0.659555885159882
"325","KLF13",0.379,0.352,-0.222,0.591,0.371,0.23,325,0.638272163982407
"326","CHD2",0.703,0.241,-0.382,0.59,0.373,0.232,326,0.6345120151091
"327","ATOH1",0.524,0.3,-0.251,0.588,0.377,0.24,327,0.619788758288394
"328","MYOD1",-0.236,0.593,0.535,0.577,0.378,0.242,328,0.616184634019569
"329","SMARCA5",-0.351,0.637,0.19,0.594,0.378,0.242,329,0.616184634019569
"330","BCAT1",0.014,0.494,0.491,0.571,0.379,0.244,330,0.612610173661271
"331","HES1",-0.519,0.698,-0.138,0.613,0.38,0.246,331,0.609064892896621
"332","GATA3",-1.525,0.936,0.966,0.621,0.382,0.249,332,0.603800652904264
"333","ZNF589",0.258,0.398,0.155,0.576,0.382,0.25,333,0.602059991327962
"334","ZNF189",0.494,0.311,-0.264,0.587,0.382,0.25,334,0.602059991327962
"335","HINFP",-0.186,0.574,-0.441,0.616,0.383,0.252,335,0.598599459218456
"336","GLI2",0.306,0.38,-0.837,0.639,0.384,0.254,336,0.595166283380062
"337","FOXP1",-0.526,0.701,-0.405,0.631,0.384,0.254,337,0.595166283380062
"338","ZNF528",0.233,0.408,-0.014,0.578,0.386,0.257,338,0.590066876668705
"339","DDX5",-0.283,0.611,-0.344,0.61,0.387,0.258,339,0.58838029403677
"340","CTBP2",-0.179,0.571,-0.516,0.619,0.387,0.259,340,0.586700235918748
"341","ZNF750",-0.08,0.532,0.525,0.567,0.389,0.262,341,0.581698708680255
"342","PITX3",-0.088,0.535,0.533,0.567,0.39,0.264,342,0.578396073130169
"343","RBPJ",-0.247,0.598,-0.604,0.625,0.391,0.267,343,0.573488738635425
"344","PRAME",0.265,0.396,-0.179,0.579,0.393,0.269,344,0.570247719997592
"345","NR1H3",0.007,0.497,0.218,0.574,0.393,0.271,345,0.567030709125594
"346","ZNF414",0.512,0.304,-0.404,0.588,0.394,0.272,346,0.565431095965801
"347","CBX8",0.023,0.491,-1.066,0.669,0.396,0.276,347,0.559090917934782
"348","TBX5",-0.491,0.688,0.829,0.567,0.397,0.279,348,0.554395796726402
"349","BACH2",-0.208,0.583,0.015,0.584,0.399,0.281,349,0.55129368009492
"350","BRD7",0.288,0.387,-0.279,0.58,0.4,0.284,350,0.546681659952962
"351","MORC2",-0.026,0.51,-0.484,0.604,0.4,0.284,351,0.546681659952962
"352","INTS3",0.202,0.42,-0.09,0.577,0.4,0.285,352,0.54515513999149
"353","GATA2",-2.531,0.994,0.383,0.723,0.401,0.286,353,0.543633966870957
"354","ZSCAN5A",0.307,0.38,-0.392,0.587,0.401,0.286,354,0.543633966870957
"355","ZNF584",0.037,0.485,-0.009,0.576,0.402,0.289,355,0.539102157243452
"356","KLF6",0.475,0.317,-0.415,0.586,0.403,0.289,356,0.539102157243452
"357","DPF2",-0.468,0.68,0.297,0.579,0.409,0.302,357,0.519993057042849
"358","TCF4",-1.087,0.862,0.471,0.599,0.411,0.306,358,0.51427857351842
"359","TERC",-0.436,0.669,0.621,0.566,0.412,0.307,359,0.512861624522813
"360","NFATC3",0.075,0.47,-0.078,0.572,0.413,0.31,360,0.508638306165727
"361","REL",0.267,0.395,-0.667,0.6,0.413,0.31,361,0.508638306165727
"362","NFYA",0.1,0.46,-0.515,0.594,0.413,0.311,362,0.507239610973163
"363","FOSL1",-0.959,0.831,-0.412,0.638,0.417,0.319,363,0.496209316942819
"364","OSR2",-0.181,0.572,0.158,0.57,0.417,0.319,364,0.496209316942819
"365","DMC1",-0.343,0.634,0.674,0.557,0.421,0.327,365,0.485452247339714
"366","PAX5",-0.93,0.824,-0.485,0.642,0.421,0.327,366,0.485452247339714
"367","TTF1",-0.264,0.604,0.311,0.565,0.421,0.327,367,0.485452247339714
"368","SPIB",-0.948,0.828,0.257,0.594,0.421,0.327,368,0.485452247339714
"369","KLF7",0.185,0.427,-0.578,0.591,0.421,0.327,369,0.485452247339714
"370","GABPA",-0.29,0.614,-0.929,0.639,0.427,0.34,370,0.468521082957745
"371","POU2F2",-0.118,0.547,-0.353,0.582,0.428,0.341,371,0.467245621007502
"372","THAP11",0.268,0.394,-0.488,0.579,0.429,0.344,372,0.46344155742847
"373","SMAD2-SMAD3",-0.991,0.839,-0.306,0.617,0.431,0.348,373,0.458420756053419
"374","ZNF644",-0.016,0.506,-0.199,0.571,0.431,0.349,374,0.45717457304082
"375","ICE1",0.234,0.407,-0.453,0.578,0.432,0.349,375,0.45717457304082
"376","KDM6B",-0.598,0.725,-0.857,0.651,0.434,0.354,376,0.450996737974212
"377","ZNF93",-0.135,0.554,0.002,0.565,0.434,0.354,377,0.450996737974212
"378","TAFII",0.214,0.415,-0.688,0.591,0.434,0.355,378,0.449771646944906
"379","POLR2M",0.154,0.439,-0.742,0.598,0.436,0.359,379,0.444905551421681
"380","ZBTB11",0.01,0.496,-0.79,0.606,0.437,0.361,380,0.442492798094342
"381","LMTK3",-0.604,0.727,0.448,0.565,0.44,0.367,381,0.435333935747911
"382","ZNF436",-0.348,0.636,0.426,0.557,0.441,0.369,382,0.43297363384094
"383","DCP1A",0.149,0.441,-0.731,0.592,0.443,0.374,383,0.42712839779952
"384","RBL2",-0.783,0.783,-0.95,0.666,0.445,0.378,384,0.422508200162775
"385","KDM3B",-0.013,0.505,-0.517,0.582,0.445,0.379,385,0.421360790031928
"386","NELFA",-0.726,0.766,-0.96,0.661,0.446,0.381,386,0.419075024324381
"387","NR1H2",-0.452,0.674,-0.238,0.578,0.451,0.391,387,0.407823242604133
"388","HBP1",0.219,0.414,-0.705,0.584,0.452,0.394,388,0.404503778174426
"389","SSU72",-0.257,0.602,-0.029,0.56,0.454,0.397,389,0.401209493236885
"390","CDK8",-0.227,0.59,-1.04,0.624,0.455,0.399,390,0.399027104313252
"391","SATB1",-1.096,0.864,-0.404,0.616,0.456,0.401,391,0.396855627379818
"392","CHRM2",-0.3,0.618,-0.859,0.612,0.457,0.404,392,0.393618634889395
"393","ZNF83",-0.12,0.548,-0.551,0.579,0.458,0.407,393,0.39040559077478
"394","BATF",-0.752,0.774,-0.355,0.592,0.458,0.407,394,0.39040559077478
"395","CPSF3L",0.1,0.46,-0.706,0.584,0.46,0.41,395,0.387216143280265
"396","PMEL",-0.142,0.556,-0.592,0.58,0.462,0.414,396,0.382999658879101
"397","NR2F1",-0.715,0.763,-0.183,0.58,0.462,0.415,397,0.381951903287907
"398","ZNF770",-0.264,0.604,-0.125,0.56,0.462,0.416,398,0.380906669373257
"399","BHLHE40",-0.002,0.501,-0.738,0.588,0.463,0.416,399,0.380906669373257
"400","ZNF391",-0.004,0.502,-0.788,0.591,0.463,0.418,400,0.378823718224965
"401","ZNF639",-0.345,0.635,-0.746,0.599,0.464,0.42,401,0.3767507096021
"402","GATAD2B",-0.561,0.713,-0.544,0.592,0.465,0.421,402,0.375717904164332
"403","DAXX",-0.396,0.654,-0.082,0.561,0.467,0.426,403,0.370590400897281
"404","LMNB1",-0.434,0.668,0.253,0.553,0.468,0.429,404,0.367542707815276
"405","NFKB1",-0.454,0.675,-0.562,0.588,0.469,0.43,405,0.366531544420413
"406","IRF4",-0.85,0.802,-0.227,0.586,0.471,0.435,406,0.361510743045363
"407","ZBTB2",-0.438,0.669,0.02,0.558,0.471,0.435,407,0.361510743045363
"408","MECOM",-0.302,0.619,-0.129,0.559,0.471,0.435,408,0.361510743045363
"409","SREBF1",-0.503,0.693,-0.75,0.602,0.473,0.44,409,0.356547323513813
"410","PTPN11",0.21,0.417,-0.735,0.577,0.473,0.44,410,0.356547323513813
"411","FEZF1",-0.533,0.703,-0.172,0.566,0.475,0.443,411,0.35359627377693
