"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"205","TCF12",0.985,0.162,1.207,0.52,0.248,0.0684,205,1.16494389827988
"206","TCF7L2",0.443,0.329,0.883,0.62,0.249,0.0696,206,1.15739076038944
"207","HIRA",0.772,0.22,1.27,0.529,0.25,0.0702,207,1.15366288787019
"208","TFAP2C",1.337,0.0907,1.383,0.493,0.251,0.0708,208,1.14996674231023
"209","ZNF134",0.748,0.227,2.392,0.482,0.251,0.0708,209,1.14996674231023
"210","ZNF563",0.821,0.206,2.101,0.489,0.253,0.0726,210,1.13906337929991
"211","BRD7",1.063,0.144,1.233,0.513,0.253,0.0729,211,1.13727247168203
"212","HOXB13",0.617,0.269,1.429,0.527,0.253,0.0729,212,1.13727247168203
"213","CEBPG",1.188,0.117,1.874,0.479,0.253,0.0733,213,1.13489602535887
"214","NFATC3",0.898,0.185,1.836,0.496,0.253,0.0733,214,1.13489602535887
"215","KLF5",1.244,0.107,0.783,0.52,0.254,0.0736,215,1.1331221856625
"216","ZNF600",1.205,0.114,1.531,0.493,0.254,0.0736,216,1.1331221856625
"217","ESR1",0.453,0.325,1.087,0.563,0.255,0.0742,217,1.12959609472097
"218","GATA3",0.856,0.196,1.452,0.512,0.255,0.0745,218,1.12784372725171
"219","SRC",0.715,0.237,1.446,0.518,0.258,0.0771,219,1.11294562194904
"220","EBF1",0.899,0.184,0.89,0.535,0.258,0.0771,220,1.11294562194904
"221","H2AZ",3.569,0.000179,-0.84,0.56,0.26,0.0787,221,1.10402526764094
"222","ZNF800",0.841,0.2,2.185,0.478,0.263,0.0823,222,1.08460016478773
"223","ZNF169",0.804,0.211,1.992,0.487,0.264,0.0827,223,1.08249449044745
"224","ZNF554",0.752,0.226,2.161,0.482,0.265,0.0833,224,1.07935499859321
"225","PRMT5",1.029,0.152,1.163,0.509,0.265,0.084,225,1.07572071393812
"226","CHRM2",0.876,0.191,0.869,0.529,0.267,0.0857,226,1.0670191780768
"227","TRIM22",1.237,0.108,1.094,0.5,0.267,0.0861,227,1.06499684854635
"228","ZNF549",0.657,0.256,2.436,0.474,0.268,0.0864,228,1.06348625752111
