"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"169","BIRA",1.049,0.147,2.237,0.475,0.195,0.0335,169,1.47495519296315
"170","NCOR2",1.262,0.103,1.171,0.528,0.195,0.0335,170,1.47495519296315
"171","NFIC",1.219,0.111,1.792,0.493,0.196,0.034,171,1.46852108295774
"172","TCF7",0.72,0.236,1.686,0.53,0.196,0.034,172,1.46852108295774
"173","ZNF317",1.009,0.157,2.191,0.477,0.199,0.0355,173,1.44977164694491
"174","BACH2",1.435,0.0756,1.141,0.517,0.2,0.0357,174,1.44733178388781
"175","DACOR1",0.813,0.208,2.415,0.473,0.201,0.0365,175,1.43770713554353
"176","DEK",1.258,0.104,1.717,0.49,0.202,0.0373,176,1.42829116819131
"177","TET2",0.991,0.161,0.882,0.566,0.202,0.0373,177,1.42829116819131
"178","RUNX3",1.126,0.13,1.727,0.498,0.203,0.0375,178,1.42596873227228
"179","STAT5",0.876,0.191,1.012,0.559,0.203,0.0377,179,1.42365864979421
"180","STAT5A",1.388,0.0826,1.53,0.496,0.205,0.0385,180,1.4145392704915
"181","RELA",1.534,0.0625,0.174,0.574,0.208,0.0408,181,1.38933983691012
"182","PBX1",0.386,0.35,1.672,0.547,0.209,0.041,182,1.38721614328026
"183","KDM1B",0.782,0.217,2.375,0.471,0.211,0.0421,183,1.37571790416433
"184","SMAD2",1.126,0.13,1.53,0.502,0.211,0.0423,184,1.37365963262496
"185","FANCD2",0.832,0.203,2.178,0.475,0.211,0.0425,185,1.37161106994969
"186","POU5F1",2.013,0.0221,1.224,0.487,0.212,0.0429,186,1.36754270781528
"187","PSIP1",0.786,0.216,1.218,0.534,0.214,0.0443,187,1.35359627377693
"188","ATF2",0.91,0.181,1.424,0.509,0.217,0.0458,188,1.33913452199613
"189","BMI1",0.881,0.189,1.027,0.534,0.217,0.0463,189,1.33441900898205
"190","SRF",1.419,0.078,0.464,0.534,0.219,0.047,190,1.32790214206428
