"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"245","PRDM2",1.256,0.105,0.941,0.536,0.291,0.111,245,0.954677021213343
"246","SMAD4",0.462,0.322,0.696,0.672,0.293,0.113,246,0.94692155651658
"247","SPIB",1.002,0.158,1.568,0.524,0.293,0.113,247,0.94692155651658
"248","HOTAIR",1.108,0.134,1.869,0.514,0.293,0.114,248,0.943095148663527
"249","E2F6",1.518,0.0646,0.075,0.568,0.294,0.114,249,0.943095148663527
"250","KDM1A",0.537,0.296,1.01,0.591,0.294,0.114,250,0.943095148663527
"251","PHIP",2.205,0.0137,-0.357,0.571,0.294,0.115,251,0.939302159646388
"252","EMX1",1.517,0.0646,0.578,0.542,0.295,0.116,252,0.935542010773082
"253","HSF1",1.057,0.145,0.125,0.598,0.296,0.117,253,0.931814138253838
"254","ZNF282",1.528,0.0632,0.368,0.548,0.297,0.117,254,0.931814138253838
"255","FOXO1",0.506,0.306,0.883,0.604,0.297,0.118,255,0.928117992693875
"256","RELB",1.203,0.115,1.412,0.519,0.297,0.118,256,0.928117992693875
"257","HDGF",1.056,0.145,1.13,0.535,0.299,0.121,257,0.91721462968355
"258","PGR",0.853,0.197,1.539,0.527,0.306,0.128,258,0.892790030352132
"259","ZNF318",1.19,0.117,1.24,0.52,0.308,0.132,259,0.87942606879415
"260","ZNF8",0.422,0.336,1.551,0.55,0.31,0.133,260,0.876148359032914
"261","PYGO2",0.818,0.207,1.767,0.521,0.311,0.135,261,0.869666231504994
"262","BRD4",1.087,0.138,-0.785,0.733,0.313,0.138,262,0.860120913598763
"263","ZNF586",0.606,0.272,2.546,0.51,0.314,0.139,263,0.856985199745905
"264","SMAD1",0.589,0.278,1.2,0.554,0.315,0.14,264,0.853871964321762
"265","ZNF28",0.831,0.203,1.506,0.525,0.315,0.14,265,0.853871964321762
"266","ZNF765",0.602,0.274,2.549,0.51,0.315,0.141,266,0.85078088734462
"267","GTF3C5",1.321,0.0932,0.611,0.534,0.316,0.142,267,0.847711655616944
"268","SETDB1",0.053,0.479,1.036,0.629,0.316,0.142,268,0.847711655616944
"269","ZNF75D",0.793,0.214,2.127,0.51,0.317,0.143,269,0.844663962534938
"270","ZNF445",0.755,0.225,1.817,0.52,0.317,0.143,270,0.844663962534938
"271","ZNF770",0.76,0.224,1.786,0.52,0.317,0.144,271,0.84163750790475
"272","ZFP37",1.201,0.115,0.838,0.527,0.319,0.146,272,0.835647144215563
"273","SS18",0.795,0.213,1.152,0.539,0.319,0.146,273,0.835647144215563
"274","ZNF675",0.622,0.267,2.346,0.511,0.32,0.148,274,0.829738284605043
"275","ZNF239",0.95,0.171,1.643,0.515,0.32,0.148,275,0.829738284605043
"276","DPPA2",0.724,0.234,1.872,0.517,0.32,0.148,276,0.829738284605043
"277","MECP2",1.32,0.0935,0.393,0.538,0.321,0.148,277,0.829738284605043
"278","POLR2M",0.902,0.184,0.237,0.576,0.321,0.149,278,0.826813731587726
"279","CDC5L",0.945,0.172,1.282,0.523,0.322,0.151,279,0.821023052706831
"280","ZNF823",0.678,0.249,2.065,0.514,0.325,0.155,280,0.809668301829709
"281","OTX2",0.176,0.43,0.985,0.599,0.326,0.157,281,0.804100347590766
"282","ZNF623",0.901,0.184,1.738,0.512,0.327,0.157,282,0.804100347590766
"283","ZNF384",0.876,0.191,1.354,0.521,0.327,0.158,283,0.801342913045577
"284","ZNF169",0.707,0.24,1.873,0.516,0.327,0.158,284,0.801342913045577
"285","ZBTB6",1.143,0.127,1.059,0.519,0.327,0.158,285,0.801342913045577
"286","CBX5",0.66,0.255,1.405,0.533,0.328,0.159,286,0.798602875679548
"287","SMARCC2",1.156,0.124,0.901,0.524,0.328,0.159,287,0.798602875679548
"288","RUNX1T1",1.198,0.116,0.946,0.52,0.329,0.16,288,0.795880017344075
"289","NR2F1",0.962,0.168,1.587,0.511,0.329,0.16,289,0.795880017344075
"290","ZNF558",0.801,0.212,1.582,0.518,0.33,0.161,290,0.79317412396815
"291","MYNN",0.72,0.236,1.421,0.527,0.33,0.162,291,0.790484985457369
"292","ZKSCAN1",0.796,0.213,1.695,0.516,0.33,0.162,292,0.790484985457369
"293","ZC3H8",1.164,0.122,1.166,0.516,0.331,0.163,293,0.787812395596042
"294","ZNF394",1.059,0.145,1.001,0.522,0.332,0.165,294,0.782516055786094
"295","EBF1",1.129,0.129,1.064,0.517,0.335,0.169,295,0.772113295386326
"296","EBNA3C",1.133,0.129,1.224,0.515,0.335,0.169,296,0.772113295386326
"297","FANCD2",0.657,0.256,1.934,0.513,0.335,0.169,297,0.772113295386326
"298","ZNF320",0.853,0.197,1.822,0.508,0.335,0.17,298,0.769551078621726
"299","CHD7",0.709,0.239,0.933,0.544,0.336,0.17,299,0.769551078621726
"300","ZNF600",1.019,0.154,1.206,0.517,0.336,0.17,300,0.769551078621726
"301","EGR2",0.983,0.163,0.521,0.542,0.337,0.172,301,0.764471553092451
"302","EOMES",0.575,0.283,1.367,0.532,0.339,0.175,302,0.756961951313706
"303","ZNF280D",0.959,0.169,1.251,0.516,0.341,0.178,303,0.749579997691106
"304","SPI1",0.496,0.31,0.279,0.6,0.342,0.179,304,0.747146969020107
"305","CBX6",0.828,0.204,0.751,0.538,0.342,0.18,305,0.744727494896694
"306","PRDM14",0.752,0.226,1.465,0.52,0.343,0.181,306,0.742321425130815
"307","ETV6",0.763,0.223,1.051,0.532,0.343,0.182,307,0.739928612014925
"308","NFIC",0.391,0.348,0.609,0.582,0.344,0.184,308,0.735182176990464
"309","DROSHA",1.005,0.157,0.074,0.554,0.345,0.184,309,0.735182176990464
"310","ZNF331",0.554,0.29,2.224,0.507,0.345,0.184,310,0.735182176990464
"311","CHAMP1",0.941,0.173,1.296,0.515,0.345,0.185,311,0.732828271596986
"312","RUNX1",0.498,0.309,0.245,0.597,0.347,0.188,312,0.72584215073632
