"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"183","CHD8",1.063,0.144,1.903,0.461,0.213,0.0436,183,1.36051351073141
"184","YAP1",1.465,0.0715,1.157,0.48,0.215,0.0447,184,1.34969247686806
"185","ZNF248",0.94,0.174,2.792,0.423,0.215,0.0447,185,1.34969247686806
"186","POU2F1",0.931,0.176,2.795,0.422,0.215,0.0449,186,1.34775365899668
"187","BIRA",0.78,0.218,1.936,0.48,0.215,0.0449,187,1.34775365899668
"188","KLF16",1.406,0.0798,1.96,0.439,0.216,0.0452,188,1.34486156518862
"189","ZNF586",0.902,0.184,2.925,0.419,0.216,0.0452,189,1.34486156518862
"190","ZNF331",0.943,0.173,2.736,0.423,0.216,0.0456,190,1.34103515733556
"191","ZNF436",1.149,0.125,1.997,0.447,0.217,0.0458,191,1.33913452199613
"192","ZNF766",0.975,0.165,2.098,0.452,0.218,0.0465,192,1.33254704711005
"193","ZNF506",1.012,0.156,2.41,0.431,0.22,0.0482,193,1.31695296176115
"194","ZNF563",1.021,0.154,2.375,0.433,0.22,0.0482,194,1.31695296176115
"195","HOXB13",1.088,0.138,1.579,0.472,0.221,0.0484,195,1.31515463835559
"196","SFPQ",0.922,0.178,2.764,0.421,0.221,0.0484,196,1.31515463835559
"197","STAT3",1.578,0.0573,0.801,0.486,0.224,0.0508,197,1.29413628771608
"198","TCF7L1",1.118,0.132,1.092,0.482,0.233,0.0566,198,1.24718356881173
"199","CREBBP",0.664,0.254,1.022,0.664,0.236,0.059,199,1.22914798835786
"200","SMAD4",0.986,0.162,1.145,0.485,0.237,0.0596,200,1.22475374025976
"201","SRF",1.65,0.0495,0.714,0.475,0.237,0.0601,201,1.22112552799726
"202","HCFC1R1",1.081,0.14,1.888,0.439,0.237,0.0601,202,1.22112552799726
"203","FEZF1",1.39,0.0823,2.006,0.416,0.239,0.0612,203,1.21324857785444
"204","TFAP2A",1.233,0.109,1.17,0.467,0.239,0.0618,204,1.20901152491118
"205","LMO2",1.211,0.113,1.113,0.47,0.24,0.0626,205,1.20342566678957
"206","TCF7",0.879,0.19,1.895,0.451,0.241,0.0632,206,1.19928292171761
"207","NOTCH3",0.825,0.205,2.753,0.411,0.242,0.064,207,1.19382002601611
"208","ZNF781",0.879,0.19,2.318,0.423,0.243,0.0643,208,1.19178902707578
"209","STAT4",0.789,0.215,1.616,0.471,0.243,0.0646,209,1.18976748200492
"210","CRY1",0.87,0.192,2.557,0.416,0.243,0.0646,210,1.18976748200492
"211","RYBP",1.673,0.0472,0.394,0.48,0.244,0.0652,211,1.18575240426808
"212","HNF1B",1.115,0.133,1.656,0.443,0.244,0.0657,212,1.18243463044022
"213","EBNA3C",1.518,0.0645,1.476,0.43,0.246,0.0666,213,1.1765257708297
"214","SCRT1",1.05,0.147,1.949,0.427,0.248,0.0684,214,1.16494389827988
"215","PRDM12",0.833,0.202,2.605,0.412,0.248,0.0687,215,1.16304326294045
"216","HIRA",1.345,0.0893,1.71,0.422,0.249,0.0693,216,1.15926676538819
"217","CEBPD",0.748,0.227,1.071,0.501,0.253,0.0729,217,1.13727247168203
"218","SCRT2",1.071,0.142,2.241,0.406,0.255,0.0748,218,1.12609840213554
"219","FOXO1",0.973,0.165,1.214,0.462,0.256,0.0751,219,1.12436006299583
"220","TOP1",1.447,0.0739,1.293,0.435,0.257,0.0761,220,1.11861534322943
"221","LHX2",0.704,0.241,1.554,0.47,0.257,0.0767,221,1.11520463605102
"222","ZNF425",0.886,0.188,2.138,0.417,0.258,0.0777,222,1.10957898119909
"223","ZNF17",0.789,0.215,2.532,0.408,0.259,0.078,223,1.10790539730952
"224","JUNB",0.804,0.211,0.981,0.488,0.259,0.0784,224,1.10568393731556
"225","ZTA",1.023,0.153,2.249,0.405,0.26,0.0787,225,1.10402526764094
"226","ZNF800",0.979,0.164,2.366,0.402,0.26,0.0793,226,1.1007268126824
"227","SOX4",1.448,0.0738,1.608,0.417,0.261,0.0797,227,1.09854167860389
"228","NFIC",1.169,0.121,1.72,0.42,0.261,0.08,228,1.09691001300806
"229","ZNF808",0.766,0.222,2.668,0.406,0.261,0.08,229,1.09691001300806
"230","FOSL2",2.703,0.00343,0.721,0.426,0.261,0.0803,230,1.09528445472132
"231","KDM3B",1.318,0.0938,1.114,0.444,0.262,0.0807,231,1.09312646527793
"232","ZNF202",0.878,0.19,1.293,0.459,0.265,0.0833,232,1.07935499859321
"233","ZNF549",0.759,0.224,2.634,0.405,0.265,0.0833,233,1.07935499859321
"234","PBX3",0.65,0.258,0.974,0.508,0.265,0.084,234,1.07572071393812
"235","STAT1",1.532,0.0628,0.652,0.454,0.266,0.0847,235,1.07211658966929
"236","KLF11",1.651,0.0494,0.736,0.445,0.266,0.0851,236,1.07007043991541
"237","KDM4A",1.468,0.0711,0.84,0.447,0.267,0.0861,237,1.06499684854635
"238","ZNF175",0.796,0.213,2.053,0.42,0.268,0.0864,238,1.06348625752111
"239","H3F3B",0.791,0.214,2.323,0.408,0.268,0.0868,239,1.06148027482351
"240","OSR2",1.105,0.135,1.773,0.416,0.27,0.0882,240,1.05453141486818
"241","ZFP64",0.897,0.185,1.711,0.43,0.27,0.0885,241,1.05305672930217
"242","ZNF573",0.783,0.217,2.361,0.407,0.27,0.0885,242,1.05305672930217
"243","PTRF",1.005,0.158,2.19,0.402,0.27,0.0885,243,1.05305672930217
"244","LARP7",0.704,0.241,1.872,0.438,0.271,0.09,244,1.04575749056068
"245","ZNF697",0.415,0.339,2.231,0.442,0.272,0.0903,245,1.04431224968649
"246","PTTG1",0.999,0.159,2.012,0.403,0.276,0.0951,246,1.02181948306259
"247","JUND",1.083,0.14,1.033,0.443,0.28,0.0984,247,1.00700490156866
"248","ZNF750",0.834,0.202,1.973,0.412,0.28,0.0984,248,1.00700490156866
