"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"129","ZNF823",1.149,0.125,2.642,0.455,0.155,0.0167,129,1.77728352885242
"130","STAT3",2.25,0.0122,1.171,0.507,0.155,0.0169,130,1.77211329538633
"131","PITX3",1.14,0.127,2.679,0.454,0.156,0.017,131,1.76955107862173
"132","DPPA2",1.175,0.12,2.536,0.458,0.157,0.0174,132,1.7594507517174
"133","MAFG",1.457,0.0725,2.559,0.444,0.158,0.0177,133,1.75202673363819
"134","SMARCA4",2.125,0.0168,1.093,0.51,0.16,0.0186,134,1.73048705578208
"135","SPI1",4.495,3.48e-06,1.166,0.481,0.161,0.0187,135,1.7281583934635
"136","YAP1",1.977,0.024,1.411,0.485,0.162,0.0193,136,1.71444269099223
"137","SATB1",0.862,0.195,2.615,0.47,0.162,0.0193,137,1.71444269099223
"138","LHX2",1.016,0.155,1.927,0.495,0.163,0.0196,138,1.70774392864352
"139","ZNF75D",1.284,0.0997,2.58,0.443,0.164,0.02,139,1.69897000433602
"140","EBF1",1.971,0.0244,1.698,0.461,0.169,0.0217,140,1.66354026615147
"141","ZBTB48",2.117,0.0171,1.257,0.481,0.17,0.0221,141,1.65560772631489
"142","LMNB1",1.143,0.127,2.345,0.455,0.171,0.0224,142,1.64975198166584
"143","KLF16",1.469,0.0709,2.032,0.453,0.173,0.0233,143,1.63264407897398
"144","ZNF490",1.013,0.156,2.686,0.441,0.175,0.024,144,1.61978875828839
"145","CDCA2",1.155,0.124,2.124,0.456,0.177,0.0249,145,1.60380065290426
"146","PRMT1",1.563,0.059,1.827,0.458,0.178,0.0255,146,1.59345981956604
"147","EBNA3C",1.888,0.0295,1.718,0.453,0.18,0.0263,147,1.58004425151024
"148","SSU72",1.247,0.106,1.864,0.465,0.181,0.0268,148,1.57186520597121
"149","BATF3",1.376,0.0843,1.606,0.476,0.184,0.0279,149,1.5543957967264
"150","JMJD6",2.111,0.0174,0.449,0.546,0.184,0.0281,150,1.55129368009492
"151","SCRT1",1.174,0.12,2.089,0.452,0.185,0.0286,151,1.54363396687096
"152","NFE2L1",1.62,0.0526,2.034,0.435,0.186,0.0289,152,1.53910215724345
"153","KDM1B",0.973,0.165,2.624,0.437,0.186,0.0289,153,1.53910215724345
"154","KDM3B",1.584,0.0566,1.441,0.472,0.186,0.0291,154,1.53610701101409
"155","LDB1",1.07,0.142,2.264,0.447,0.186,0.0291,155,1.53610701101409
"156","FOSL1",1.973,0.0242,1.307,0.461,0.19,0.0308,156,1.51144928349956
"157","EPAS1",1.243,0.107,1.737,0.465,0.19,0.0308,157,1.51144928349956
"158","PBX3",0.871,0.192,1.325,0.528,0.19,0.0308,158,1.51144928349956
"159","MEIS1",1.564,0.0589,1.755,0.447,0.193,0.0322,159,1.49214412830417
"160","EHMT2",1.084,0.139,2.017,0.455,0.193,0.0326,160,1.48678239993206
"161","ZMYM3",1.796,0.0362,1.299,0.464,0.196,0.0338,161,1.47108329972235
"162","OSR2",1.286,0.0992,2,0.443,0.196,0.0338,162,1.47108329972235
"163","SCRT2",1.204,0.114,2.474,0.424,0.197,0.0342,163,1.46597389394386
"164","IKZF1",2.212,0.0135,1.4,0.445,0.197,0.0346,164,1.46092390120722
"165","SRF",1.848,0.0323,0.929,0.488,0.198,0.0348,165,1.45842075605342
"166","SMAD4",1.024,0.153,1.177,0.51,0.199,0.0354,166,1.45099673797421
"167","DLX2",1.136,0.128,1.897,0.454,0.199,0.0355,167,1.44977164694491
"168","SRCAP",0.921,0.178,2.562,0.432,0.2,0.0359,168,1.44490555142168
"169","BATF",1.925,0.0271,1.595,0.44,0.2,0.0361,169,1.44249279809434
"170","TFAP2C",1.161,0.123,1.276,0.486,0.203,0.0377,170,1.42365864979421
