"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"266","ZNF425",0.519,0.302,1.325,0.43,0.304,0.127,266,0.896196279044043
"267","PBX2",0.46,0.323,0.995,0.448,0.305,0.128,267,0.892790030352132
"268","HCFC1R1",0.514,0.304,1.267,0.429,0.308,0.132,268,0.87942606879415
"269","FOXP1",0.076,0.47,0.292,0.533,0.31,0.133,269,0.876148359032914
"270","ZBTB42",0.542,0.294,1.13,0.432,0.31,0.134,270,0.872895201635192
"271","HMBOX1",0.489,0.313,1.351,0.426,0.31,0.134,271,0.872895201635192
"272","GRHL3",0.651,0.258,0.88,0.435,0.311,0.135,272,0.869666231504994
"273","ZNF664",0.574,0.283,1.326,0.42,0.311,0.136,273,0.866461091629782
"274","SMARCA2",0.454,0.325,1.269,0.431,0.312,0.137,274,0.863279432843593
"275","NOTCH3",0.308,0.379,2.084,0.405,0.313,0.139,275,0.856985199745905
"276","ZNF92",0.487,0.313,1.319,0.425,0.313,0.139,276,0.856985199745905
"277","ZSCAN20",0.656,0.256,1.025,0.424,0.314,0.14,277,0.853871964321762
"278","POU2F1",0.32,0.374,2.005,0.406,0.315,0.141,278,0.85078088734462
"279","STAT4",0.174,0.431,0.948,0.469,0.315,0.141,279,0.85078088734462
"280","CBX5",0.153,0.439,0.714,0.485,0.315,0.141,280,0.85078088734462
"281","ZNF766",0.396,0.346,1.199,0.436,0.318,0.145,281,0.838631997765025
"282","ZNF138",0.394,0.347,1.579,0.415,0.321,0.149,282,0.826813731587726
"283","ZNF585A",0.447,0.327,1.334,0.421,0.322,0.151,283,0.821023052706831
"284","BRD9",0.694,0.244,0.666,0.43,0.325,0.154,284,0.812479279163537
"285","ZNF768",0.433,0.332,1.399,0.419,0.325,0.155,285,0.809668301829709
"286","ZNF438",0.44,0.33,0.96,0.431,0.33,0.161,286,0.79317412396815
"287","ZNF506",0.386,0.35,1.501,0.414,0.33,0.162,287,0.790484985457369
"288","TCF12",0.216,0.415,0.493,0.472,0.331,0.163,288,0.787812395596042
"289","ZNF35",0.507,0.306,0.895,0.428,0.331,0.163,289,0.787812395596042
